ID,Common_Name,Scientific_Name,Group_Family,Ecosystem_Habitat,Conservation_Status,Dominant_Threats,Conservation_Suggestions,Source_File
84,Bigeye Tuna,Thunnus obesus,Scombridae (Marine Fish),"Marine. A deep-dwelling, highly migratory, pelagic fish found in tropical and subtropical ocean waters.",Vulnerable.,Intense global fishing pressure (longlining and purse seining). Juveniles are often caught as bycatch in purse seine fisheries.,Regional Fishery Management Organizations (RFMOs) must implement and enforce strict catch limits and measures to protect juvenile stock.,aquaticlife dataset.docx
85,Frigate Tuna,Auxis thazard,Scombridae (Marine Fish),"Marine. A small, schooling, pelagic fish found in coastal and offshore waters.",Least Concern.,"High fishing pressure, often caught in large schools.",Monitoring fishing effort and stock levels.,aquaticlife dataset.docx
86,Dorab Wolf-herring,Chirocentrus dorab,Chirocentridae (Marine Fish),"Marine. Found in coastal waters and estuaries. A predatory fish with large, sharp teeth.",Least Concern.,Overfishing and coastal pollution.,Sustainable fishing practices and pollution control in coastal zones.,aquaticlife dataset.docx
87,Toothed Ponyfish,Gazza minuta,Leiognathidae (Marine Fish),"Marine. Found in shallow coastal waters, estuaries, and mudflats.",Least Concern.,Habitat degradation in coastal areas.,None specifically needed.,aquaticlife dataset.docx
88,Whipfin Mojarra,Gerres filamentosus,Gerreidae (Marine Fish),"Marine. Found in shallow, coastal waters, estuaries, and brackish lagoons.",Least Concern.,Habitat degradation of coastal nursery areas.,Protecting estuarine habitats.,aquaticlife dataset.docx
89,Blue-tail Mullet,Valamugil seheli,Mugilidae (Marine Fish),"Marine. Found in coastal and estuarine waters, often entering fresh water.",Least Concern.,Overfishing and coastal habitat degradation.,Monitoring fishing pressure.,aquaticlife dataset.docx
90,Paradise Threadfin,Polynemus paradiseus,Polynemidae (Marine Fish),"Marine. Found in shallow, coastal waters and estuaries, especially over mud and sand bottoms. Known for its long pectoral fin filaments.",Vulnerable.,Intense fishing pressure and habitat loss in its estuarine nursery areas.,Protecting estuarine habitats and implementing fishing regulations.,aquaticlife dataset.docx
91,Indian Grouper,Epinephelus coioides,Serranidae (Marine Fish),"Marine. Found in coastal and offshore reefs, rocky areas, and estuaries.",Near Threatened.,Heavy fishing pressure and destruction of coral reef and mangrove habitats.,Establishing Marine Protected Areas (MPAs) and implementing size limits.,aquaticlife dataset.docx
92,Pink Snapper,Pristipomoides filamentosus,Lutjanidae (Marine Fish),Marine. A deep-water snapper found over rocky bottoms and reefs on the continental shelf edge.,Least Concern.,Commercial deep-sea fishing pressure.,Monitoring deep-sea fishing effort to ensure sustainability.,aquaticlife dataset.docx
93,Spot-tail Shark,Carcharhinus sorrah,Carcharhinidae (Marine Fish),Marine. Found in coastal waters on the continental and insular shelves.,Vulnerable.,Intense fishing pressure due to its valuable fins and meat. Susceptible to bycatch in commercial fisheries.,Implementing strict fishing quotas and protected areas to safeguard nursery grounds.,aquaticlife dataset.docx
94,Spadenose Shark,Scoliodon laticaudus,Carcharhinidae (Marine Fish),"Marine. A small, schooling shark found in shallow, muddy coastal waters and estuaries.",Near Threatened.,High fishing pressure as it's a common catch in coastal fisheries.,Monitoring fishing pressure and protecting coastal nursery areas.,aquaticlife dataset.docx
95,Reticulate Whipray,Himantura uarnak,Dasyatidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and coral reefs.",Vulnerable.,Heavy fishing pressure and habitat loss of coastal and estuarine environments.,Regulating fishing and protecting coastal and estuarine habitats.,aquaticlife dataset.docx
96,Marbled Electric Ray,Torpedo marmorata,Torpedinidae (Marine Fish),Marine. Found on sandy or muddy bottoms in coastal waters. Known for its ability to produce electric shocks.,Vulnerable.,Bycatch in bottom trawling and gillnet fisheries.,Reducing fishing efforts in sensitive coastal areas.,aquaticlife dataset.docx
97,Japanese Tilefish,Branchiostegus japonicus,Malacanthidae (Marine Fish),"Marine. A deep-water, burrowing fish found over sandy or muddy bottoms on the continental shelf.",Least Concern.,Targeted fishing pressure for its meat.,Monitoring deep-sea fishing efforts.,aquaticlife dataset.docx
98,Silver Grunt,Pomadasys hasta,Haemulidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and turbid areas, often over sand or mud bottoms.",Least Concern.,Overfishing and coastal habitat degradation.,Sustainable fishing practices.,aquaticlife dataset.docx
99,Spotted Grunt,Pomadasys kaakan,Haemulidae (Marine Fish),"Marine. Found in coastal and estuarine waters, often over muddy or sandy bottoms.",Least Concern.,Overfishing and coastal pollution.,Monitoring fishing efforts in coastal areas.,aquaticlife dataset.docx
100,Splendid Ponyfish,Leiognathus splendens,Leiognathidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and mudflats. It's a small, schooling fish commonly caught by trawlers.",Least Concern.,"Heavy fishing pressure due to its abundance, though its resilience keeps the population stable. Coastal habitat degradation (e.g., pollution, sedimentation).",Monitoring stock levels to prevent localized overexploitation.,aquaticlife dataset.docx
101,Bindus Ponyfish,Leiognathus bindus,Leiognathidae (Marine Fish),"Marine. Inhabits coastal and brackish waters, often found over muddy bottoms.",Least Concern.,"Similar to other ponyfish, it faces heavy fishing pressure and coastal pollution.",Sustainable fishing practices in coastal areas.,aquaticlife dataset.docx
102,Indian Threadfin,Polydactylus indicus,Polynemidae (Marine Fish),"Marine. Found in coastal waters and estuaries, typically over muddy substrates. It is a large, highly valued food fish.",Vulnerable.,Severe overfishing due to its high commercial value. Habitat loss in estuarine nursery areas from coastal development and pollution.,Implementing and strictly enforcing fishing quotas and minimum size limits. Protecting estuarine and near-shore habitats.,aquaticlife dataset.docx
103,Peacock Damselfish,Pomacentrus pavo,Pomacentridae (Marine Fish),"Marine. Associated with coral reefs and rocky areas, particularly those with branching corals and dense rubble.",Least Concern.,Coral reef degradation due to climate change (bleaching) and destructive fishing practices. Collection for the ornamental fish trade.,Protecting coral reef ecosystems and regulating the aquarium trade.,aquaticlife dataset.docx
104,Tigertooth Croaker,Otolithes ruber,Sciaenidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and offshore areas over sand or mud bottoms. Highly valued for its swim bladder (fish maw).",Least Concern.,"Intense fishing pressure is the main threat, driven largely by the high value of its swim bladder.",Implementing size limits and managing the fishing effort on this stock.,aquaticlife dataset.docx
105,Jewfish (Blackmouth Croaker),Pseudosciaena diacanthus (Synonym for Protonibea diacanthus),Sciaenidae (Marine Fish),"Marine. A large, predatory fish found in coastal and offshore waters, often near estuaries. Highly prized for its meat and swim bladder.","Near Threatened (Note: Closely related species like the Giant Croaker, Protonibea diacanthus, are more often assessed, and this general group is under severe pressure).","Extreme fishing pressure due to the very high commercial value of its swim bladder (often called ""sea gold"").","Urgent regional management plans, including size and catch limits, to prevent overfishing of the breeding stock.",aquaticlife dataset.docx
106,Karut Croaker,Johnius carutta,Sciaenidae (Marine Fish),"Marine. Found in shallow coastal waters and estuaries, often over muddy substrates.",Least Concern.,Heavy fishing pressure due to its commercial value.,Monitoring coastal fishing activities.,aquaticlife dataset.docx
107,Corsula Mullet,Rhinomugil corsula,Mugilidae (Freshwater Fish),"Freshwater (Primary). Unusually for mullets, this species is found almost entirely in freshwater, specifically in rivers and large canals. It often swims near the surface.",Least Concern.,Habitat degradation in riverine systems due to pollution and sand mining.,Protecting river water quality and regulating sand mining.,aquaticlife dataset.docx
108,Soldier Catfish,Osteogeneiosus militaris,Ariidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and brackish lagoons. Known for its venomous dorsal and pectoral spines.","Least Concern.
Dominant Threat Factors*: Fishing pressure as it's often caught as bycatch.",,None specifically required.,aquaticlife dataset.docx
109,Arabian Houndshark,Mustelus mosis,Triakidae (Marine Fish),"Marine. Found in coastal and shelf waters, usually over sandy or muddy bottoms.",Vulnerable.,"Intense fishing pressure from bottom trawling and gillnets, as it's a slow-reproducing species susceptible to overexploitation.","Implementing and enforcing strict fishing quotas, especially on fishing gear that targets the seabed.",aquaticlife dataset.docx
110,Vigors' Carp,Osteobrama vigorsii,Cyprinidae (Freshwater Fish),Freshwater. Endemic to the Krishna and Godavari River systems. Found in reservoirs and deeper pools of rivers.,Least Concern.,Habitat fragmentation from dams and introduction of non-native species for aquaculture.,Protecting the genetic purity of wild populations and managing dam operations to allow for fish migration.,aquaticlife dataset.docx
111,Mola Carplet,Amblypharyngodon mola,Cyprinidae (Freshwater Fish),"Freshwater. A small, schooling fish found in ponds, canals, ditches, and stagnant water bodies.",Least Concern.,Habitat loss due to the draining of small wetlands and pollution.,Protecting small freshwater bodies.,aquaticlife dataset.docx
112,Attentive Carplet,Amblypharyngodon melettinus,Cyprinidae (Freshwater Fish),"Freshwater. Found in ponds, tanks, and streams in the Western Ghats region.",Least Concern.,Habitat loss and competition from introduced fish species.,None specifically required.,aquaticlife dataset.docx
113,Slender Rasbora,Rasbora daniconius,Cyprinidae (Freshwater Fish),"Freshwater. A very common and widespread species found in almost all freshwater types, including rivers, streams, ponds, and rice paddies.",Least Concern.,None major; it is highly adaptable.,None specifically needed.,aquaticlife dataset.docx
114,Long-whiskered Catfish,Sperata aor,Bagridae (Freshwater Fish),Freshwater. A large predatory catfish found in main channels of large rivers and deep reservoirs.,Near Threatened.,Overfishing due to high demand for its meat. Habitat degradation in major river systems.,Regulating fishing pressure and protecting large river habitats.,aquaticlife dataset.docx
115,Stinging Catfish,Heteropneustes fossilis,Heteropneustidae (Freshwater Fish),"Freshwater. Found in stagnant or muddy water bodies like swamps, ditches, and ponds. Known for its painful, venomous sting.",Least Concern.,None major; it is highly resilient to poor water quality.,None specifically needed.,aquaticlife dataset.docx
116,Magur (Catfish),Clarias batrachus,Clariidae (Freshwater Fish),"Freshwater. Found in stagnant or sluggish water bodies like swamps, muddy ponds, and ditches. It's an air-breathing fish highly tolerant of low dissolved oxygen.",Vulnerable.,Habitat loss due to the draining of wetlands and swamps. Competition from the invasive African Catfish (Clarias gariepinus). Overfishing for food.,Protecting wetland and swamp habitats. Controlling the spread of the invasive African Catfish.,aquaticlife dataset.docx
117,African Catfish (Exotic),Clarias gariepinus,Clariidae (Freshwater Fish),"Freshwater (Invasive). Highly adaptable, found in almost any type of freshwater body, including rivers, lakes, and reservoirs. It is a voracious predator and air-breather.",Not Applicable (Exotic/Invasive).,"As an invasive species, it poses a severe threat to native fish fauna by predating on them and outcompeting native species like the Magur for resources.",Strict regulation and enforcement to prevent its illegal culture and release into natural water bodies. Eradication efforts where feasible.,aquaticlife dataset.docx
118,Mozambique Tilapia (Exotic),Oreochromis mossambicus,Cichlidae (Freshwater Fish),"Freshwater (Invasive). Extremely hardy and tolerant of a wide range of salinities and temperatures; found in lakes, reservoirs, and brackish estuaries.",Not Applicable (Exotic/Invasive).,"Highly competitive, leading to the displacement of native fish species. Its rapid reproduction and omnivorous diet make it highly successful, altering local ecosystem structure.",Preventing its spread into new water systems. Promoting sustainable aquaculture practices that do not use open systems.,aquaticlife dataset.docx
119,Red-tail Catfish,Aorichthys aor,Bagridae (Freshwater Fish),"Freshwater. A large catfish found in main river channels and large reservoirs, preferring deep, clear water.",Near Threatened.,"Overfishing for its meat and habitat degradation in major river systems, including pollution and flow regulation from dams.",Regulating fishing size limits and protecting the health of large rivers.,aquaticlife dataset.docx
120,Children's Silond,Silonia childreni,Schilbeidae (Freshwater Fish),Freshwater. Found in large rivers and reservoirs in peninsular India. It is a schooling fish.,Least Concern.,Overfishing and habitat fragmentation due to river damming.,Sustainable management of fishing and maintaining river connectivity.,aquaticlife dataset.docx
121,Pangasius Catfish,Pangasius pangasius,Pangasiidae (Freshwater Fish),Freshwater. Found in large rivers and estuaries. It is a migratory species. Note: this native species should not be confused with the imported Vietnamese 'Basa' (Pangasianodon hypophthalmus).,Vulnerable.,Habitat fragmentation from dams blocking migratory routes. Overfishing and competition from introduced Pangasianodon species.,Protecting migratory routes and controlling the illegal stocking of non-native Pangasianodon species.,aquaticlife dataset.docx
122,Hamilton's Barila,Barilius bendelisis,Cyprinidae (Freshwater Fish),"Freshwater. Found in hill streams and rivers, usually preferring clear, cool, and fast-flowing water.",Least Concern.,Habitat degradation (siltation and pollution) of its stream environment.,Protecting the water quality of upland streams.,aquaticlife dataset.docx
123,Common Loach,Lepidocephalus thermalis,Cobitidae (Freshwater Fish),"Freshwater. Found in stagnant or slow-moving water bodies with muddy substrates, such as ponds, rice paddies, and streams.",Least Concern.,Habitat loss due to the draining of small water bodies and pollution.,None specifically needed; highly resilient.,aquaticlife dataset.docx
124,Semiarmatus Loach,Schistura semiarmatus,Nemacheilidae (Freshwater Fish),"Freshwater. Found in hill streams and rivers in the Western Ghats region, specifically favoring fast-flowing, clear water.",Least Concern.,Habitat degradation from siltation and pollution.,Maintaining the ecological integrity of its stream habitats.,aquaticlife dataset.docx
125,Mysore Stone Loach,Balitora mysorensis,Balitoridae (Freshwater Fish),"Freshwater (Endemic). Found in clear, fast-flowing, well-oxygenated hill streams in the Western Ghats. It adheres to rocks in strong currents.",Vulnerable.,Habitat degradation (silting and pollution) and alteration of water flow due to micro-hydro projects.,Protecting the quality and natural flow regimes of its endemic hill streams.,aquaticlife dataset.docx
126,Tentacled Loach,Parapsilorhynchus tentaculatus,Cyprinidae (Freshwater Fish),Freshwater. Found in streams and rivers in the Western Ghats.,Least Concern.,Habitat loss and siltation of stream habitats.,Protecting its stream environment.,aquaticlife dataset.docx
127,Hilsa Shad,Tenualosa ilisha,Clupeidae (Marine Fish),Brackish/Marine (Anadromous). Spends most of its life in the sea but migrates to large rivers (like the Ganga and Godavari) to spawn.,Least Concern.,"Heavy overfishing and the presence of dams and barrages which block access to upstream spawning grounds, severely impacting recruitment.","Strict seasonal fishing bans, establishing fish passages on dams, and pollution control in major rivers.",aquaticlife dataset.docx
128,Yellowstripe Goatfish,Upeneus vittatus,Mullidae (Marine Fish),"Marine. Found in coastal waters, sand flats, and coral reefs, foraging on the bottom.",Least Concern.,"Commercial fishing pressure, particularly from trawling.",Monitoring fishing efforts.,aquaticlife dataset.docx
129,Crimson Snapper,Lutjanus erythropterus,Lutjanidae (Marine Fish),Marine. Found on offshore reefs and rocky bottoms.,Least Concern.,Fishing pressure as it is a commercially important reef fish.,Implementing size limits and protecting reef habitats.,aquaticlife dataset.docx
130,Kawakawa (Little Tuna),Euthynnus affinis,Scombridae (Marine Fish),"Marine. A fast-swimming, pelagic fish found in coastal and offshore waters, often in large schools.",Least Concern.,"High fishing pressure (as it's a small tuna species), often caught in large numbers by purse seines.",Monitoring stock levels to ensure sustainable harvest.,aquaticlife dataset.docx
131,Giant Sea Perch (Asian Sea Bass/Bhekti),Lates calcarifer,Latidae (Marine/Brackish Fish),"Brackish/Marine (Euryhaline). Highly adaptable, found in estuaries, coastal waters, rivers, and lagoons. Juveniles utilize mangrove areas as nurseries.",Least Concern.,Overfishing and habitat loss in critical mangrove and estuarine nursery areas due to coastal development and pollution.,Protecting estuarine and mangrove habitats is vital. Sustainable management of both wild catch and aquaculture practices.,aquaticlife dataset.docx
132,Fine-scale Lizardfish,Saurida microlepis,Synodontidae (Marine Fish),Marine. Found on sandy and muddy bottoms of the continental shelf in coastal and offshore waters. It is a predatory bottom-dwelling fish.,Least Concern.,"Trawl fishing pressure as it is often caught as bycatch, although it is also commercially utilized.",Sustainable management of bottom trawling activities.,aquaticlife dataset.docx
133,Malabar Snapper,Lutjanus malabaricus,Lutjanidae (Marine Fish),Marine. Found in coastal and offshore waters near rocky reefs and coral formations.,Near Threatened.,"Heavy fishing pressure due to its high commercial value. It's susceptible to overfishing due to being a slow-growing, long-lived reef species.",Implementing Marine Protected Areas (MPAs) and enforcing strict size and catch limits.,aquaticlife dataset.docx
134,Blue Swimming Crab,Portunus pelagicus,Portunidae (Crustacean),Marine. Found in coastal and estuarine waters over sand and mud bottoms. Highly valued commercial species.,Not Evaluated (Under constant review due to high commercial importance).,"Intense, unregulated fishing pressure and destruction of coastal nursery habitats (e.g., seagrass beds).","Implementing seasonal closures and strict size regulations, especially to protect spawning females. Protecting seagrass and estuarine habitats.",aquaticlife dataset.docx
135,Green Mussel,Perna viridis,Mytilidae (Mollusc),"Marine (Coastal). Found attached to rocky substrates, jetties, and boat hulls in the intertidal and subtidal zones of coastal waters.","Not Evaluated (Globally common, but highly susceptible to environmental changes).","Pollution (as they are filter feeders, they accumulate toxins), over-harvesting in localized areas, and competition from invasive species.",Monitoring coastal water quality and promoting sustainable harvesting practices.,aquaticlife dataset.docx
136,Climbing Perch,Anabas testudineus,Anabantidae (Freshwater Fish),"Freshwater. Found in stagnant or sluggish water like swamps, rice paddies, and ditches. It's famous for its ability to breathe atmospheric air and ""walk"" short distances on land.",Least Concern.,Habitat loss due to the draining of wetlands and swamps. Overfishing for food.,Protecting wetland and swamp habitats.,aquaticlife dataset.docx
137,Malabar Grouper,Epinephelus malabaricus,Serranidae (Marine Fish),"Marine. Found in coastal reefs, rocky areas, and estuaries. Juveniles often utilize mangroves as nurseries.",Near Threatened.,Heavy fishing pressure (highly valued food fish) and destruction of critical coral reef and mangrove habitats.,Establishing Marine Protected Areas (MPAs) to safeguard breeding grounds and implementing size limits.,aquaticlife dataset.docx
138,Spotted Dragonet,Dactylopus dactylopus,Callionymidae (Marine Fish),Marine. Found on sandy and muddy bottoms in shallow coastal waters.,Least Concern.,Habitat damage from bottom trawling.,Monitoring fishing methods in its habitat.,aquaticlife dataset.docx
139,Longtail Tuna,Thunnus tonggol,Scombridae (Marine Fish),Marine. Found in coastal and offshore waters over continental shelves. It's a highly valued commercial tuna species.,Least Concern.,Heavy fishing pressure across its range. Susceptible to overfishing in localized areas.,Regional cooperation on monitoring and implementing sustainable fishing quotas.,aquaticlife dataset.docx
140,Striped Catfish,Plotosus lineatus,Plotosidae (Marine Fish),"Marine/Brackish. Found in coastal areas, estuaries, and coral reefs. It is a schooling fish and possesses venomous spines.",Least Concern.,No major threats; it's widespread and highly adaptable.,None specifically needed.,aquaticlife dataset.docx
141,Snubnose Emperor,Lethrinus miniatus,Lethrinidae (Marine Fish),"Marine. Found around coral reefs, rocky areas, and sandy bottoms in coastal and outer reef slopes.",Least Concern.,Fishing pressure as it is a commercially important reef fish. Coral reef degradation.,Protecting reef habitats and regulating fishing.,aquaticlife dataset.docx
142,Striped Bonito,Sarda orientalis,Scombridae (Marine Fish),"Marine. A highly migratory, pelagic fish found in coastal and open ocean waters.",Least Concern.,"Commercial fishing pressure, particularly from purse seines and gillnets.",Monitoring fishing effort and quotas.,aquaticlife dataset.docx
143,Grey Mullet (Striped Mullet),Mugil cephalus,Mugilidae (Marine Fish),"Brackish/Marine. Found in coastal lagoons, estuaries, and offshore waters. It is an important food fish.",Least Concern.,Habitat degradation in estuaries (crucial nursery areas) from pollution and coastal development.,Protecting and restoring estuarine habitats and managing water quality.,aquaticlife dataset.docx
144,Largescale Mullet,Liza macrolepis,Mugilidae (Marine Fish),"Brackish/Marine. Found in estuaries, lagoons, and coastal waters.",Least Concern.,Pollution and habitat degradation in its coastal and estuarine habitats.,Reducing coastal pollution and protecting nursery grounds.,aquaticlife dataset.docx
145,Indian White Prawn,Penaeus indicus,Penaeidae (Crustacean),"Marine. Juveniles are found in estuaries and backwaters (nursery grounds), while adults live in coastal marine waters. Highly important commercial species.",Not Evaluated (Globally stable but subject to intense fishing).,Intensive fishing pressure and habitat loss in estuarine nursery areas due to pollution and coastal development.,"Sustainable fishery management, including seasonal closures and protecting estuarine ecosystems.",aquaticlife dataset.docx
146,Tiger Prawn (Giant Tiger Prawn),Penaeus monodon,Penaeidae (Crustacean),Marine. Juveniles use estuaries and mangroves as nursery grounds; adults live in coastal and offshore marine waters.,Not Evaluated (Globally common but heavily exploited).,Intense fishing pressure from trawling and gillnets. Habitat loss and pollution of mangrove and estuarine nursery areas. Its widespread use in aquaculture contributes to the risk of disease spread in the wild.,"Sustainable fishing regulations, protection of mangrove habitats, and best practices for aquaculture to prevent disease transfer.",aquaticlife dataset.docx
147,Flower Prawn,Penaeus semisulcatus,Penaeidae (Crustacean),Marine. Found in coastal waters over sandy and muddy bottoms. Juveniles often found in brackish water.,Not Evaluated (Heavily fished but widespread).,Heavy fishing pressure and habitat degradation of coastal nursery areas.,Monitoring stock levels and ensuring fishing practices are sustainable.,aquaticlife dataset.docx
148,Brown Shrimp,Metapenaeus monoceros,Penaeidae (Crustacean),Marine. Found over muddy and sandy bottoms in coastal waters and estuaries. It is a highly important commercial shrimp.,Not Evaluated.,Intensive trawling and coastal pollution affecting its breeding and nursery grounds.,Regulating bottom trawling to reduce fishing mortality and bycatch.,aquaticlife dataset.docx
149,Green Tiger Prawn,Penaeus monodon,Penaeidae (Crustacean),Marine. This is a repetition of the Tiger Prawn (Penaeus monodon).,Not Evaluated.,Intense fishing and coastal/estuarine habitat loss.,Sustainable fishing and protection of mangrove habitats.,aquaticlife dataset.docx
150,Octopus,Octopus sp. (General),Octopodidae (Mollusc),"Marine. Found in various habitats, including coral reefs, rocky areas, and sandy/muddy bottoms, from intertidal zones to deep water.","Varies widely by species; common commercial species are generally Least Concern, but data is often lacking.","Fishing pressure, often as bycatch but increasingly targeted. Habitat destruction (e.g., destructive fishing practices on reefs).",Implementing responsible fishing practices; protecting coastal and benthic habitats.,aquaticlife dataset.docx
151,Squid,Loligo duvaucelii (Indian Squid),Loliginidae (Mollusc),"Marine. Found in coastal and offshore waters over the continental shelf. They are fast-growing, short-lived pelagic predators.",Least Concern.,"Intense fishing pressure (targeted by jigging and trawling). While stocks recover quickly due to rapid life cycles, fishing effort must be monitored.",Regional monitoring of fishing effort and sustainable management plans.,aquaticlife dataset.docx
152,Giant Scad,Caranx ignobilis,Carangidae (Marine Fish),"Marine. This is a repetition of the Giant Trevally (Caranx ignobilis) (see No. 175). Found in reefs, open coastal waters, and estuaries.",Least Concern.,Overfishing.,Regulating fishing size and catch limits.,aquaticlife dataset.docx
153,Yellowfin Bream (Black Sea Bream),Acanthopagrus berda,Sparidae (Marine Fish),"Brackish/Marine. Found in coastal waters, estuaries, and lower river reaches.",Least Concern.,Habitat degradation in estuaries due to pollution and development.,Protection of estuarine habitats.,aquaticlife dataset.docx
154,Tigertooth Croaker,Otolithes ruber,Sciaenidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and offshore over sand or mud bottoms. Highly valued for its swim bladder.",Least Concern.,"Intense fishing pressure, particularly due to the high value of its swim bladder (fish maw).",Managing fishing effort and implementing appropriate size limits.,aquaticlife dataset.docx
155,White Grunt (Silver Grunt),Pomadasys hasta,Haemulidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and turbid areas, often over sand or mud bottoms.",Least Concern.,Overfishing and coastal habitat degradation.,Sustainable fishing practices.,aquaticlife dataset.docx
156,Blue-spot Stingray,Neotrygon kuhlii,Dasyatidae (Marine Fish),Marine. Found on sandy bottoms near coral reefs in shallow coastal waters.,Near Threatened.,Bycatch in bottom trawling and gillnet fisheries. Habitat degradation of coastal areas and coral reefs.,Reducing fishing efforts in sensitive coastal areas and protecting reef habitats.,aquaticlife dataset.docx
157,Reticulate Whipray,Himantura uarnak,Dasyatidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and coral reefs.",Vulnerable.,Heavy fishing pressure and habitat loss of coastal and estuarine environments. Its slow reproductive rate makes it highly vulnerable to overexploitation.,Regulating fishing and protecting coastal and estuarine habitats.,aquaticlife dataset.docx
158,Indian Glassy Perchlet,Ambassis nama,Ambassidae (Freshwater Fish),"Freshwater. Found in stagnant or slow-moving water bodies like ponds, ditches, and tanks. It can tolerate slightly brackish water.",Least Concern.,Habitat loss due to the draining of small water bodies and pollution.,None specifically needed; highly adaptable.,aquaticlife dataset.docx
159,Malabar Sole,Cynoglossus macrostomus,Cynoglossidae (Marine Fish),Marine. A flatfish found on muddy and sandy bottoms in coastal waters.,Least Concern.,Trawl fishing pressure.,Sustainable management of bottom trawling.,aquaticlife dataset.docx
160,Needlefish (Crocodile Needlefish),Tylosurus crocodilus,Belonidae (Marine Fish),"Marine. Found in coastal and open ocean waters, often near the surface.",Least Concern.,Fishing pressure as bycatch and some localized targeting.,None specifically needed.,aquaticlife dataset.docx
161,Halfbeak,Hyporhamphus xanthopterus,Hemiramphidae (Marine Fish),"Marine. Found in coastal and estuarine waters, often near the surface.",Data Deficient.,Habitat degradation in coastal and estuarine areas.,Further research is needed to determine its conservation status.,aquaticlife dataset.docx
162,White Sardinella,Sardinella albella,Clupeidae (Marine Fish),Marine. Found in coastal waters in large schools.,Least Concern.,Heavy fishing pressure (major commercial species).,Implementing size limits and monitoring stock health.,aquaticlife dataset.docx
163,Gold-stripe Sardinella,Sardinella gibbosa,Clupeidae (Marine Fish),Marine. Found in coastal waters in large schools.,Least Concern.,Heavy fishing pressure.,Sustainable fishery management.,aquaticlife dataset.docx
164,Indian Pellona,Ilisha melastoma,Pristigasteridae (Marine Fish),Marine. Found in coastal waters and estuaries.,Least Concern.,Fishing pressure and coastal pollution.,Pollution control in coastal areas.,aquaticlife dataset.docx
165,Moustache Anchovy,Thrissocles mystax,Engraulidae (Marine Fish),Marine. Found in coastal and estuarine waters. Forms large schools.,Least Concern.,Heavy fishing pressure.,Monitoring stock levels.,aquaticlife dataset.docx
166,Bombay Anchovy,Stolephorus indicus,Engraulidae (Marine Fish),Marine. Found in coastal waters in large schools.,Least Concern.,High fishing pressure.,Sustainable fishery management.,aquaticlife dataset.docx
167,Indian Mackerel,Rastrelliger kanagurta,Scombridae (Marine Fish),Marine. Found in large schools in coastal waters.,Least Concern.,High fishing pressure and habitat pollution in near-shore spawning areas.,Sustainable fishery management and reducing coastal pollution.,aquaticlife dataset.docx
168,Tuna (Yellowfin Tuna),Thunnus albacares,Scombridae (Marine Fish),"Marine. A large, highly migratory pelagic fish found in tropical and subtropical ocean waters.",Near Threatened.,Intense global fishing pressure.,"International and regional fishery management plans, including quotas and size limits.",aquaticlife dataset.docx
169,Skipjack Tuna,Katsuwonus pelamis,Scombridae (Marine Fish),"Marine. A small, fast-growing, highly migratory pelagic fish found in open tropical and subtropical ocean waters.",Least Concern.,High commercial fishing pressure.,International cooperation on fishery management.,aquaticlife dataset.docx
170,Frigate Tuna,Auxis thazard,Scombridae (Marine Fish),"Marine. A small, schooling, pelagic fish found in coastal and offshore waters.",Least Concern.,High fishing pressure.,Monitoring fishing effort.,aquaticlife dataset.docx
171,Indo-Pacific King Mackerel,Scomberomorus guttatus,Scombridae (Marine Fish),Marine. Found in coastal waters over the continental shelf.,Least Concern.,Heavy fishing pressure.,Implementing size limits and managing fishing quotas.,aquaticlife dataset.docx
172,Spanish Mackerel (Narrow-barred Spanish Mackerel),Scomberomorus commerson,Scombridae (Marine Fish),"Marine. A large, highly migratory, pelagic fish found in coastal and offshore waters.",Least Concern.,High commercial fishing pressure.,Regional cooperation on implementing fishing quotas and size limits.,aquaticlife dataset.docx
173,Cobia,Rachycentron canadum,Rachycentridae (Marine Fish),"Marine. Found in coastal waters, estuaries, and around reefs.",Least Concern.,Overfishing and increasing popularity in aquaculture.,Monitoring wild stocks and regulating fishing.,aquaticlife dataset.docx
174,Snubnose Pompano,Trachinotus blochii,Carangidae (Marine Fish),"Marine. Found in shallow coastal waters, sandy beaches, and reefs. Juveniles frequent the surf zone.",Least Concern.,Habitat loss in critical juvenile areas (beaches/surf zones).,Protection of coastal and beach habitats.,aquaticlife dataset.docx
175,Giant Trevally,Caranx ignobilis,Carangidae (Marine Fish),"Marine. Found in reefs, open coastal waters, and estuaries. A large, predatory fish.",Least Concern.,Overfishing.,Regulating fishing size and catch limits.,aquaticlife dataset.docx
176,Yellowtail Scad,Atule mate,Carangidae (Marine Fish),"Marine. A schooling, pelagic fish found in coastal waters and around islands.",Least Concern.,Heavy fishing pressure.,Monitoring catch levels to prevent overexploitation.,aquaticlife dataset.docx
