Species_Name,Scientific_Name,Class_Type,Group_Family,Ecosystem,Habitat_Details,Conservation_Status,IUCN_Status_Code,Dominant_Threat_Factor,Conservation_Suggestions_Detailed,N_Current_Pop_Size,r_Intrinsic_Growth_Rate,Es_Environmental_Stochasticity,Habitat_Quality_Index,Threat_Score_Pollution,Threat_Score_Overfishing,Threat_Score_ClimateChange,Overharvest_Rate,Conservation_Priority_Score
Ribbonfish,Trichiurus lepturus,Largehead Hairtail,Trichiuridae,Marine,"Found over continental shelves, often in large schools near the bottom or in mid-water.",Least Concern,LC,"Heavy fishing pressure due to high commercial value, often caught by bottom trawling",Monitoring fishing intensity and managing trawl fishing to minimize bycatch and habitat damage.,28816.42857,0.176111964,0.168667085,0.576843914,0.573432832,0.236767892,0.407703873,0.124449522,3.03
Bombay Duck,Harpadon nehereus,Bummalow,Synodontidae,Marine,"Found in coastal waters, estuaries, and offshore up to 100 meters. It is a major commercial species, commonly processed and dried.",Least Concern,LC,"Intense fishing pressure, although its rapid growth and abundance make it resilient",Monitoring stock levels to prevent overexploitation and reducing coastal pollution.,11319.14286,0.162768886,0.195570584,0.680723388,0.500126589,0.428709642,0.502310588,0.163887435,3.39
Malabar Grouper,Epinephelus malabaricus,Marine Fish,Serranidae,Marine,"Found in coastal areas on coral reefs, rocky substrates, and estuaries. Juveniles often utilize mangrove areas as nurseries.",Near Threatened,NT,Heavy fishing pressure,Establishing Marine Protected Areas (MPAs) to safeguard breeding grounds and implementing size limits to protect spawning stock.,20931.14286,0.135574549,0.222598664,0.629433494,0.445965399,0.557815302,0.532714985,0.110423833,4.56
Moontail Bullseye,Priacanthus hamrur,Marine Fish,Priacanthidae,Marine,"Found in coastal and offshore waters, usually near coral reefs or rocky bottoms. It is a nocturnal species.",Least Concern,LC,Fishing pressure from trawling and hook,Monitoring fishing intensity and managing catches.,21436.14286,0.104850971,0.221816724,0.558218959,0.591395592,0.386825916,0.386080112,0.142517964,3.27
Striped Mullet,Mugil cephalus,Marine Fish,Mugilidae,Brackish,"Brackish/Marine. Highly adaptable, found in coastal lagoons, estuaries, and offshore waters. It migrates to the sea to spawn.",Least Concern,LC,Habitat degradation in estuaries,Protecting and restoring estuarine habitats and managing water quality.,29618,0.120229755,0.115932824,0.54693091,0.544914381,0.523807225,0.48424773,0.124255931,3.59
Largescale Mullet,Liza macrolepis,Marine Fish,Mugilidae,Brackish,"Brackish/Marine. Found in estuaries, lagoons, and coastal waters. It is very tolerant of varying salinity levels.",Least Concern,LC,Pollution and habitat degradation in its coastal and estuarine habitats,Reducing coastal pollution and protecting nursery grounds.,20761,0.130108386,0.19735657,0.569308567,0.513137917,0.504799382,0.580818303,0.153743099,3.66
Moustache Anchovy,Thrissocles mystax,Marine Fish,Engraulidae,Marine,Found in coastal and estuarine waters. It forms large schools.,Least Concern,LC,Heavy fishing pressure as it,Monitoring stock health and ensuring sustainable fishing levels.,24885.71429,0.163747758,0.22196108,0.528136975,0.371436808,0.449485148,0.55658063,0.135259752,3.3
Blackfin Barracuda,Sphyraena putnamae,Marine Fish,Sphyraenidae,Marine,"Found in coastal, turbid waters, often over muddy bottoms. It is a predatory, schooling fish.",Least Concern,LC,Fishing pressure from trawling and line fishing,None specifically needed.,26091,0.121440953,0.215167634,0.661329172,0.335117714,0.408124588,0.464957714,0.134499819,3.01
Indian Garfish,Xenentodon cancila,Freshwater Fish,Belonidae,Freshwater,"Found in stagnant or slow-moving water bodies like ponds, canals, and ditches, usually among vegetation.",Least Concern,LC,Habitat loss due to the draining of wetlands and pollution,Protecting and maintaining wetland habitats.,23613.28571,0.120319627,0.214077713,0.587257917,0.450634338,0.534863249,0.450906171,0.14120469,3.39
Greater Lizardfish,Saurida tumbil,Marine Fish,Synodontidae,Marine,Found on sandy and muddy bottoms of the continental shelf in coastal and deeper waters.,Least Concern,LC,"Trawl fishing pressure as it is often caught as bycatch, although it is also commercially utilized",Sustainable management of bottom trawling.,23640.85714,0.127811876,0.249389694,0.548846482,0.52509542,0.559510868,0.552054468,0.117996921,3.73
Indian Scad,Decapterus russelli,Marine Fish,Carangidae,Marine,"A schooling, pelagic fish found in coastal waters and around islands.",Least Concern,LC,Heavy fishing pressure due to its commercial importance,Monitoring stock levels and enforcing sustainable fishing practices.,24560.85714,0.170881318,0.167263259,0.638866653,0.575330279,0.366356226,0.492028374,0.133807551,3.39
Talang Queenfish,Scomberoides commersonnianus,Marine Fish,Carangidae,Marine,"Found in coastal waters, lagoons, and near reefs. It is a fast-swimming predatory fish.",Least Concern,LC,Fishing pressure from various gear types,None specifically needed.,26518.85714,0.135241529,0.184579224,0.579962588,0.568665113,0.547077577,0.600721914,0.115259565,3.86
Snubnose Pompano,Trachinotus blochii,Marine Fish,Carangidae,Marine,"Found in shallow coastal waters, sandy beaches, and reefs. Juveniles occur in very shallow, surf zones.",Least Concern,LC,Habitat loss in critical juvenile areas,Protection of coastal and beach habitats.,16207.85714,0.136809028,0.156230568,0.571989865,0.524040181,0.633467426,0.454901197,0.150881685,3.69
Wahoo,Acanthocybium solandri,Marine Fish,Scombridae,Marine,"A large, highly migratory, pelagic fish found in open ocean waters. It is a solitary hunter.",Least Concern,LC,Recreational and commercial fishing pressure,International cooperation on monitoring and managing highly migratory species.,24874.14286,0.092437728,0.210334918,0.528881951,0.506555318,0.523032702,0.415538224,0.165066274,3.41
Bigeye Tuna,Thunnus obesus,Marine Fish,Scombridae,Marine,"A deep-dwelling, highly migratory, pelagic fish found in tropical and subtropical ocean waters.",Vulnerable,VU,Intense global fishing pressure,Regional Fishery Management Organizations (RFMOs) must implement and enforce strict catch limits and measures to protect juvenile stock.,24259.14286,0.099469965,0.15798942,0.579890727,0.270836392,0.459574926,0.421082727,0.150727521,4.92
Frigate Tuna,Auxis thazard,Marine Fish,Scombridae,Marine,"A small, schooling, pelagic fish found in coastal and offshore waters.",Least Concern,LC,"High fishing pressure, often caught in large schools",Monitoring fishing effort and stock levels.,23773.42857,0.117897967,0.183631732,0.564404133,0.622928916,0.414696288,0.546532153,0.12201311,3.64
Dorab Wolf,Chirocentrus dorab,Marine Fish,Chirocentridae,Marine,"Found in coastal waters and estuaries. A predatory fish with large, sharp teeth.",Least Concern,LC,Overfishing and coastal pollution,Sustainable fishing practices and pollution control in coastal zones.,25184.57143,0.104405818,0.236219811,0.688405037,0.666988417,0.491215018,0.565564514,0.168802031,3.87
Toothed Ponyfish,Gazza minuta,Marine Fish,Leiognathidae,Marine,"Found in shallow coastal waters, estuaries, and mudflats.",Least Concern,LC,Habitat degradation in coastal areas,None specifically needed.,26568.28571,0.123152695,0.175949118,0.678175219,0.492852737,0.418912546,0.457926436,0.177098194,3.28
Whipfin Mojarra,Gerres filamentosus,Marine Fish,Gerreidae,Marine,"Found in shallow, coastal waters, estuaries, and brackish lagoons.",Least Concern,LC,Habitat degradation of coastal nursery areas,Protecting estuarine habitats.,32062.57143,0.146341602,0.223061196,0.580448891,0.4380377,0.389473099,0.531590187,0.144126475,3.27
Blue,Valamugil seheli,Marine Fish,Mugilidae,Marine,"Found in coastal and estuarine waters, often entering fresh water.",Least Concern,LC,Overfishing and coastal habitat degradation,Monitoring fishing pressure.,20796,0.168820499,0.247136514,0.695755474,0.439866488,0.423876206,0.53836406,0.101482445,3.34
Paradise Threadfin,Polynemus paradiseus,Marine Fish,Polynemidae,Marine,"Found in shallow, coastal waters and estuaries, especially over mud and sand bottoms. Known for its long pectoral fin filaments.",Vulnerable,VU,Intense fishing pressure and habitat loss in its estuarine nursery areas,Protecting estuarine habitats and implementing fishing regulations.,32959.14286,0.153329345,0.224779816,0.548623018,0.424448099,0.596194831,0.437200749,0.136014955,5.43
Indian Grouper,Epinephelus coioides,Marine Fish,Serranidae,Marine,"Found in coastal and offshore reefs, rocky areas, and estuaries.",Near Threatened,NT,Heavy fishing pressure and destruction of coral reef and mangrove habitats,Establishing Marine Protected Areas (MPAs) and implementing size limits.,27899.57143,0.131757772,0.205297776,0.548348464,0.452930844,0.545591371,0.619867775,0.149890709,4.7
Pink Snapper,Pristipomoides filamentosus,Marine Fish,Lutjanidae,Marine,A deep-water snapper found over rocky bottoms and reefs on the continental shelf edge.,Least Concern,LC,Commercial deep,Monitoring deep-sea fishing effort to ensure sustainability.,34286.14286,0.163458433,0.213517489,0.658576177,0.555902413,0.434846553,0.518628068,0.140689159,3.52
Spot,Carcharhinus sorrah,Marine Fish,Carcharhinidae,Marine,Found in coastal waters on the continental and insular shelves.,Vulnerable,VU,Intense fishing pressure due to its valuable fins and meat,Implementing strict fishing quotas and protected areas to safeguard nursery grounds.,26693.14286,0.161929547,0.244341502,0.49338567,0.372154835,0.547466742,0.45537939,0.095255498,5.29
Spadenose Shark,Scoliodon laticaudus,Marine Fish,Carcharhinidae,Marine,"A small, schooling shark found in shallow, muddy coastal waters and estuaries.",Near Threatened,NT,High fishing pressure as it,Monitoring fishing pressure and protecting coastal nursery areas.,18606.85714,0.09865311,0.217154023,0.830286979,0.522483531,0.554259182,0.48541247,0.106552832,4.6
Reticulate Whipray,Himantura uarnak,Marine Fish,Dasyatidae,Marine,"Found in coastal waters, estuaries, and coral reefs.",Vulnerable,VU,Heavy fishing pressure and habitat loss of coastal and estuarine environments,Regulating fishing and protecting coastal and estuarine habitats.,30281.14286,0.089031546,0.260101972,0.690019404,0.412387055,0.485599732,0.562360197,0.15394538,5.43
Marbled Electric Ray,Torpedo marmorata,Marine Fish,Torpedinidae,Marine,Found on sandy or muddy bottoms in coastal waters. Known for its ability to produce electric shocks.,Vulnerable,VU,Bycatch in bottom trawling and gillnet fisheries,Reducing fishing efforts in sensitive coastal areas.,33245.28571,0.109020368,0.226141005,0.746984212,0.524687023,0.275431566,0.454480398,0.107217204,5.09
Japanese Tilefish,Branchiostegus japonicus,Marine Fish,Malacanthidae,Marine,"A deep-water, burrowing fish found over sandy or muddy bottoms on the continental shelf.",Least Concern,LC,Targeted fishing pressure for its meat,Monitoring deep-sea fishing efforts.,33831.28571,0.112360193,0.180952794,0.573672326,0.485685838,0.502764452,0.438718498,0.099683641,3.38
Silver Grunt,Pomadasys hasta,Marine Fish,Haemulidae,Marine,"Found in coastal waters, estuaries, and turbid areas, often over sand or mud bottoms.",Least Concern,LC,Overfishing and coastal habitat degradation,Sustainable fishing practices.,19771.57143,0.079806896,0.192298573,0.567464443,0.505603455,0.352885597,0.551961262,0.09293452,3.35
Spotted Grunt,Pomadasys kaakan,Marine Fish,Haemulidae,Marine,"Found in coastal and estuarine waters, often over muddy or sandy bottoms.",Least Concern,LC,Overfishing and coastal pollution,Monitoring fishing efforts in coastal areas.,23433.71429,0.102861566,0.176842982,0.697169324,0.466451796,0.424382872,0.471023761,0.192451602,3.27
Splendid Ponyfish,Leiognathus splendens,Marine Fish,Leiognathidae,Marine,"Found in coastal waters, estuaries, and mudflats. It's a small, schooling fish commonly caught by trawlers.",Least Concern,LC,"Heavy fishing pressure due to its abundance, though its resilience keeps the population stable",Monitoring stock levels to prevent localized overexploitation.,25056.85714,0.153763602,0.187807875,0.646213912,0.357203209,0.577163557,0.484187455,0.154032676,3.36
Bindus Ponyfish,Leiognathus bindus,Marine Fish,Leiognathidae,Marine,"Inhabits coastal and brackish waters, often found over muddy bottoms.",Least Concern,LC,"Similar to other ponyfish, it faces heavy fishing pressure and coastal pollution",Sustainable fishing practices in coastal areas.,22007.14286,0.16870779,0.200296386,0.622363616,0.299208306,0.371124905,0.362890453,0.149103714,2.72
Indian Threadfin,Polydactylus indicus,Marine Fish,Polynemidae,Marine,"Found in coastal waters and estuaries, typically over muddy substrates. It is a large, highly valued food fish.",Vulnerable,VU,Severe overfishing due to its high commercial value,Implementing and strictly enforcing fishing quotas and minimum size limits. Protecting estuarine and near-shore habitats.,35357.28571,0.185009551,0.206335033,0.551318768,0.494140502,0.541420227,0.478523357,0.173023071,5.52
Peacock Damselfish,Pomacentrus pavo,Marine Fish,Pomacentridae,Marine,"Associated with coral reefs and rocky areas, particularly those with branching corals and dense rubble.",Least Concern,LC,Coral reef degradation due to climate change,Protecting coral reef ecosystems and regulating the aquarium trade.,16102.85714,0.128720782,0.166710672,0.506722683,0.541127084,0.390304875,0.508836295,0.134633412,3.4
Tigertooth Croaker,Otolithes ruber,Marine Fish,Sciaenidae,Marine,"Found in coastal waters, estuaries, and offshore areas over sand or mud bottoms. Highly valued for its swim bladder (fish maw).",Least Concern,LC,"Intense fishing pressure is the main threat, driven largely by the high value of its swim bladder",Implementing size limits and managing the fishing effort on this stock.,29852.28571,0.11122391,0.241498547,0.601899176,0.417585219,0.399695342,0.63201036,0.114501133,3.42
Jewfish,Pseudosciaena diacanthus (Synonym for Protonibea diacanthus),Blackmouth Croaker,Sciaenidae,Marine,"A large, predatory fish found in coastal and offshore waters, often near estuaries. Highly prized for its meat and swim bladder.",Near Threatened,NT,Extreme fishing pressure due to the very high commercial value of its swim bladder,"Urgent regional management plans, including size and catch limits, to prevent overfishing of the breeding stock.",20457.42857,0.108818822,0.20776096,0.500695821,0.607102922,0.538038488,0.531293675,0.112398678,4.79
Karut Croaker,Johnius carutta,Marine Fish,Sciaenidae,Marine,"Found in shallow coastal waters and estuaries, often over muddy substrates.",Least Concern,LC,Heavy fishing pressure due to its commercial value,Monitoring coastal fishing activities.,24657,0.156723132,0.192399695,0.648506375,0.335187882,0.328149875,0.513281454,0.1098275,2.96
Corsula Mullet,Rhinomugil corsula,Freshwater Fish,Mugilidae,Freshwater (Primary),"Unusually for mullets, this species is found almost entirely in freshwater, specifically in rivers and large canals. It often swims near the surface.",Least Concern,LC,Habitat degradation in riverine systems due to pollution and sand mining,Protecting river water quality and regulating sand mining.,30012.57143,0.124762171,0.208774472,0.515939086,0.571547596,0.345612376,0.663769422,0.189403011,3.63
Soldier Catfish,Osteogeneiosus militaris,Marine Fish,Ariidae,Marine,"Found in coastal waters, estuaries, and brackish lagoons. Known for its venomous dorsal and pectoral spines.",Least Concern,LC,Unknown,None specifically required.,31587.85714,0.162957767,0.165732446,0.584666471,0.610335616,0.450355057,0.431912814,0.135695306,3.49
Arabian Houndshark,Mustelus mosis,Marine Fish,Triakidae,Marine,"Found in coastal and shelf waters, usually over sandy or muddy bottoms.",Vulnerable,VU,"Intense fishing pressure from bottom trawling and gillnets, as it","Implementing and enforcing strict fishing quotas, especially on fishing gear that targets the seabed.",27825,0.125521748,0.19563153,0.678033343,0.416441029,0.709480211,0.399625169,0.118311095,5.54
Vigors' Carp,Osteobrama vigorsii,Freshwater Fish,Cyprinidae,Freshwater,Endemic to the Krishna and Godavari River systems. Found in reservoirs and deeper pools of rivers.,Least Concern,LC,Habitat fragmentation from dams and introduction of non,Protecting the genetic purity of wild populations and managing dam operations to allow for fish migration.,19994.85714,0.097445671,0.153681777,0.635822664,0.398238526,0.366701629,0.331068787,0.175019162,2.83
Mola Carplet,Amblypharyngodon mola,Freshwater Fish,Cyprinidae,Freshwater,"A small, schooling fish found in ponds, canals, ditches, and stagnant water bodies.",Least Concern,LC,Habitat loss due to the draining of small wetlands and pollution,Protecting small freshwater bodies.,33342.14286,0.12453647,0.215180553,0.523748847,0.568465082,0.517804424,0.552639278,0.152794805,3.73
Attentive Carplet,Amblypharyngodon melettinus,Freshwater Fish,Cyprinidae,Freshwater,"Found in ponds, tanks, and streams in the Western Ghats region.",Least Concern,LC,Habitat loss and competition from introduced fish species,None specifically required.,28962.85714,0.146412696,0.207288497,0.61906073,0.360221083,0.412772986,0.524904017,0.126753344,3.16
Slender Rasbora,Rasbora daniconius,Freshwater Fish,Cyprinidae,Freshwater,"A very common and widespread species found in almost all freshwater types, including rivers, streams, ponds, and rice paddies.",Least Concern,LC,None major,None specifically needed.,23812,0.152622926,0.240156671,0.615068934,0.57614628,0.484776297,0.490573258,0.124061459,3.59
Long,Sperata aor,Freshwater Fish,Bagridae,Freshwater,A large predatory catfish found in main channels of large rivers and deep reservoirs.,Near Threatened,NT,Overfishing due to high demand for its meat,Regulating fishing pressure and protecting large river habitats.,20346,0.132821714,0.201238214,0.678356229,0.414453709,0.381541035,0.536285524,0.15525667,4.22
Stinging Catfish,Heteropneustes fossilis,Freshwater Fish,Heteropneustidae,Freshwater,"Found in stagnant or muddy water bodies like swamps, ditches, and ponds. Known for its painful, venomous sting.",Least Concern,LC,None major,None specifically needed.,27369.85714,0.12254026,0.23526955,0.545714489,0.501633107,0.423089778,0.369407634,0.167420553,3.16
Magur,Clarias batrachus,Catfish,Clariidae,Freshwater,"Found in stagnant or sluggish water bodies like swamps, muddy ponds, and ditches. It's an air-breathing fish highly tolerant of low dissolved oxygen.",Vulnerable,VU,Habitat loss due to the draining of wetlands and swamps,Protecting wetland and swamp habitats. Controlling the spread of the invasive African Catfish.,24076.14286,0.127862043,0.220715523,0.565549064,0.457148487,0.271263702,0.591976774,0.127234641,5.2
African Catfish,Clarias gariepinus,Exotic,Clariidae,Freshwater (Invasive),"Highly adaptable, found in almost any type of freshwater body, including rivers, lakes, and reservoirs. It is a voracious predator and air-breather.",Not Applicable,N/A,"As an invasive species, it poses a severe threat to native fish fauna by predating on them and outcompeting native species like the Magur for resources",Strict regulation and enforcement to prevent its illegal culture and release into natural water bodies. Eradication efforts where feasible.,25902.85714,0.144994187,0.192800212,0.671566423,0.53498663,0.514657323,0.366796665,0.147394178,4.86
Mozambique Tilapia,Oreochromis mossambicus,Exotic,Cichlidae,Freshwater (Invasive),"Extremely hardy and tolerant of a wide range of salinities and temperatures; found in lakes, reservoirs, and brackish estuaries.",Not Applicable,N/A,"Highly competitive, leading to the displacement of native fish species",Preventing its spread into new water systems. Promoting sustainable aquaculture practices that do not use open systems.,29661.85714,0.169995181,0.208150174,0.681685548,0.512879758,0.343815104,0.450074457,0.078083968,4.68
Red,Aorichthys aor,Freshwater Fish,Bagridae,Freshwater,"A large catfish found in main river channels and large reservoirs, preferring deep, clear water.",Near Threatened,NT,"Overfishing for its meat and habitat degradation in major river systems, including pollution and flow regulation from dams",Regulating fishing size limits and protecting the health of large rivers.,21280,0.126838218,0.223270209,0.587157128,0.501475267,0.501386331,0.545533095,0.154959703,4.58
Children's Silond,Silonia childreni,Freshwater Fish,Schilbeidae,Freshwater,Found in large rivers and reservoirs in peninsular India. It is a schooling fish.,Least Concern,LC,Overfishing and habitat fragmentation due to river damming,Sustainable management of fishing and maintaining river connectivity.,25323.42857,0.150706766,0.159663298,0.612661314,0.520085796,0.300103455,0.584968769,0.099005091,3.34
Pangasius Catfish,Pangasius pangasius,Freshwater Fish,Pangasiidae,Freshwater,Found in large rivers and estuaries. It is a migratory species. Note: this native species should not be confused with the imported Vietnamese 'Basa' (Pangasianodon hypophthalmus).,Vulnerable,VU,Habitat fragmentation from dams blocking migratory routes,Protecting migratory routes and controlling the illegal stocking of non-native Pangasianodon species.,27125.57143,0.12594384,0.280392983,0.662019961,0.52279123,0.386913069,0.634793146,0.16193845,5.57
Hamilton's Barila,Barilius bendelisis,Freshwater Fish,Cyprinidae,Freshwater,"Found in hill streams and rivers, usually preferring clear, cool, and fast-flowing water.",Least Concern,LC,Habitat degradation,Protecting the water quality of upland streams.,24878.42857,0.126259873,0.161458483,0.563438403,0.64440685,0.42371982,0.445956101,0.183095539,3.52
Common Loach,Lepidocephalus thermalis,Freshwater Fish,Cobitidae,Freshwater,"Found in stagnant or slow-moving water bodies with muddy substrates, such as ponds, rice paddies, and streams.",Least Concern,LC,Habitat loss due to the draining of small water bodies and pollution,None specifically needed; highly resilient.,28678,0.100946139,0.217309533,0.778608158,0.522998581,0.559226644,0.542350857,0.117438023,3.71
Semiarmatus Loach,Schistura semiarmatus,Freshwater Fish,Nemacheilidae,Freshwater,"Found in hill streams and rivers in the Western Ghats region, specifically favoring fast-flowing, clear water.",Least Concern,LC,Habitat degradation from siltation and pollution,Maintaining the ecological integrity of its stream habitats.,20537.85714,0.17366642,0.142451187,0.548744415,0.436459306,0.487144144,0.407719055,0.116075166,3.22
Mysore Stone Loach,Balitora mysorensis,Freshwater Fish,Balitoridae,Freshwater (Endemic),"Found in clear, fast-flowing, well-oxygenated hill streams in the Western Ghats. It adheres to rocks in strong currents.",Vulnerable,VU,Habitat degradation,Protecting the quality and natural flow regimes of its endemic hill streams.,25323.71429,0.11205814,0.159232181,0.598305093,0.394167294,0.497809069,0.580993461,0.09945541,5.45
Tentacled Loach,Parapsilorhynchus tentaculatus,Freshwater Fish,Cyprinidae,Freshwater,Found in streams and rivers in the Western Ghats.,Least Concern,LC,Habitat loss and siltation of stream habitats,Protecting its stream environment.,28164.14286,0.156796208,0.235240254,0.57184537,0.490662022,0.456840871,0.483511242,0.114687136,3.39
Hilsa Shad,Tenualosa ilisha,Marine Fish,Clupeidae,Brackish,Brackish/Marine (Anadromous). Spends most of its life in the sea but migrates to large rivers (like the Ganga and Godavari) to spawn.,Least Concern,LC,"Heavy overfishing and the presence of dams and barrages which block access to upstream spawning grounds, severely impacting recruitment","Strict seasonal fishing bans, establishing fish passages on dams, and pollution control in major rivers.",31262.42857,0.154586963,0.197569276,0.769514144,0.396783426,0.572871395,0.549627081,0.153706227,3.53
Yellowstripe Goatfish,Upeneus vittatus,Marine Fish,Mullidae,Marine,"Found in coastal waters, sand flats, and coral reefs, foraging on the bottom.",Least Concern,LC,"Commercial fishing pressure, particularly from trawling",Monitoring fishing efforts.,24484.28571,0.124759312,0.208670469,0.726324506,0.589644969,0.628322708,0.565659678,0.11048833,3.97
Crimson Snapper,Lutjanus erythropterus,Marine Fish,Lutjanidae,Marine,Found on offshore reefs and rocky bottoms.,Least Concern,LC,Fishing pressure as it is a commercially important reef fish,Implementing size limits and protecting reef habitats.,28407.14286,0.154852642,0.19171257,0.673386518,0.430063795,0.515669878,0.548471665,0.078229579,3.49
Kawakawa,Euthynnus affinis,Little Tuna,Scombridae,Marine,"A fast-swimming, pelagic fish found in coastal and offshore waters, often in large schools.",Least Concern,LC,High fishing pressure,Monitoring stock levels to ensure sustainable harvest.,20723.14286,0.15249487,0.21322608,0.600276948,0.580012484,0.226986693,0.475472928,0.073822169,3.14
Giant Sea Perch,Lates calcarifer,Asian Sea Bass/Bhekti,Latidae,Brackish,"Brackish/Marine (Euryhaline). Highly adaptable, found in estuaries, coastal waters, rivers, and lagoons. Juveniles utilize mangrove areas as nurseries.",Least Concern,LC,Overfishing and habitat loss in critical mangrove and estuarine nursery areas due to coastal development and pollution,Protecting estuarine and mangrove habitats is vital. Sustainable management of both wild catch and aquaculture practices.,25248,0.103241421,0.205169934,0.722084228,0.384358174,0.503147871,0.50758231,0.116042978,3.33
Fine,Saurida microlepis,Marine Fish,Synodontidae,Marine,Found on sandy and muddy bottoms of the continental shelf in coastal and offshore waters. It is a predatory bottom-dwelling fish.,Least Concern,LC,"Trawl fishing pressure as it is often caught as bycatch, although it is also commercially utilized",Sustainable management of bottom trawling activities.,23451.57143,0.132475317,0.172822431,0.543468475,0.454334911,0.383014468,0.557584125,0.159190276,3.32
Malabar Snapper,Lutjanus malabaricus,Marine Fish,Lutjanidae,Marine,Found in coastal and offshore waters near rocky reefs and coral formations.,Near Threatened,NT,Heavy fishing pressure due to its high commercial value,Implementing Marine Protected Areas (MPAs) and enforcing strict size and catch limits.,20272.57143,0.151221166,0.166127513,0.586754223,0.53351335,0.372309064,0.536553601,0.124477107,4.4
Blue Swimming Crab,Portunus pelagicus,Crustacean,Portunidae,Marine,Found in coastal and estuarine waters over sand and mud bottoms. Highly valued commercial species.,Not Evaluated,N/A,"Intense, unregulated fishing pressure and destruction of coastal nursery habitats","Implementing seasonal closures and strict size regulations, especially to protect spawning females. Protecting seagrass and estuarine habitats.",29958.71429,0.162257789,0.171387933,0.532998542,0.551508499,0.570041787,0.49020141,0.058223303,5.19
Green Mussel,Perna viridis,Mollusc,Mytilidae,Marine (Coastal),"Found attached to rocky substrates, jetties, and boat hulls in the intertidal and subtidal zones of coastal waters.",Not Evaluated,N/A,Pollution,Monitoring coastal water quality and promoting sustainable harvesting practices.,15713.42857,0.136836004,0.190372598,0.524088787,0.5199247,0.458626082,0.572328623,0.126718114,5.08
Climbing Perch,Anabas testudineus,Freshwater Fish,Anabantidae,Freshwater,"Found in stagnant or sluggish water like swamps, rice paddies, and ditches. It's famous for its ability to breathe atmospheric air and ""walk"" short distances on land.",Least Concern,LC,Habitat loss due to the draining of wetlands and swamps,Protecting wetland and swamp habitats.,27196.71429,0.110446682,0.244837573,0.671613105,0.350620725,0.513950757,0.36763637,0.163387644,3.05
Malabar Grouper,Epinephelus malabaricus,Marine Fish,Serranidae,Marine,"Found in coastal reefs, rocky areas, and estuaries. Juveniles often utilize mangroves as nurseries.",Near Threatened,NT,Heavy fishing pressure,Establishing Marine Protected Areas (MPAs) to safeguard breeding grounds and implementing size limits.,23627.28571,0.109686987,0.163872797,0.581666562,0.601034512,0.330365591,0.354244114,0.131669598,4.14
Spotted Dragonet,Dactylopus dactylopus,Marine Fish,Callionymidae,Marine,Found on sandy and muddy bottoms in shallow coastal waters.,Least Concern,LC,Habitat damage from bottom trawling,Monitoring fishing methods in its habitat.,26795.14286,0.142249719,0.176526834,0.58666956,0.529701374,0.37433034,0.529686659,0.160048808,3.39
Longtail Tuna,Thunnus tonggol,Marine Fish,Scombridae,Marine,Found in coastal and offshore waters over continental shelves. It's a highly valued commercial tuna species.,Least Concern,LC,Heavy fishing pressure across its range,Regional cooperation on monitoring and implementing sustainable fishing quotas.,25847,0.152043741,0.160185073,0.570962133,0.573048434,0.648463483,0.445537544,0.129062557,3.78
Striped Catfish,Plotosus lineatus,Marine Fish,Plotosidae,Marine,"Marine/Brackish. Found in coastal areas, estuaries, and coral reefs. It is a schooling fish and possesses venomous spines.",Least Concern,LC,No major threats,None specifically needed.,20323.85714,0.125349632,0.152449508,0.504336584,0.455630867,0.537300795,0.538588766,0.12360695,3.55
Snubnose Emperor,Lethrinus miniatus,Marine Fish,Lethrinidae,Marine,"Found around coral reefs, rocky areas, and sandy bottoms in coastal and outer reef slopes.",Least Concern,LC,Fishing pressure as it is a commercially important reef fish,Protecting reef habitats and regulating fishing.,18619.57143,0.137206238,0.126969721,0.54844071,0.400847459,0.479372485,0.565046076,0.156845022,3.41
Striped Bonito,Sarda orientalis,Marine Fish,Scombridae,Marine,"A highly migratory, pelagic fish found in coastal and open ocean waters.",Least Concern,LC,"Commercial fishing pressure, particularly from purse seines and gillnets",Monitoring fishing effort and quotas.,25935.14286,0.147825062,0.186987626,0.58654604,0.434398783,0.530763777,0.724574634,0.154590533,3.82
Grey Mullet,Mugil cephalus,Striped Mullet,Mugilidae,Brackish,"Brackish/Marine. Found in coastal lagoons, estuaries, and offshore waters. It is an important food fish.",Least Concern,LC,Habitat degradation in estuaries,Protecting and restoring estuarine habitats and managing water quality.,35589.57143,0.134391188,0.19668525,0.554343612,0.532251938,0.542622592,0.599870211,0.115809597,3.79
Largescale Mullet,Liza macrolepis,Marine Fish,Mugilidae,Brackish,"Brackish/Marine. Found in estuaries, lagoons, and coastal waters.",Least Concern,LC,Pollution and habitat degradation in its coastal and estuarine habitats,Reducing coastal pollution and protecting nursery grounds.,35206.42857,0.127570251,0.193076318,0.534722331,0.485259464,0.412996615,0.407860342,0.109719636,3.18
Indian White Prawn,Penaeus indicus,Crustacean,Penaeidae,Marine,"Juveniles are found in estuaries and backwaters (nursery grounds), while adults live in coastal marine waters. Highly important commercial species.",Not Evaluated,N/A,Intensive fishing pressure and habitat loss in estuarine nursery areas due to pollution and coastal development,"Sustainable fishery management, including seasonal closures and protecting estuarine ecosystems.",29042.14286,0.11978206,0.204629239,0.452350748,0.510948053,0.531783447,0.480859092,0.115294712,5.04
